epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,394.212,1.22403,0.78165,1.03136,0.77595,0.66654,0.71015,0.42271,1.34155,0.96757,1.00886,0.009208,0.009208,0.009208
82,398.968,1.21178,0.77063,1.02973,0.7928,0.67306,0.72561,0.43318,1.34009,0.94775,1.00156,0.0091981,0.0091981,0.0091981
83,403.799,1.22625,0.78388,1.03479,0.78797,0.65922,0.72106,0.43423,1.31681,0.94758,0.99553,0.0091882,0.0091882,0.0091882
84,408.554,1.22604,0.78396,1.03754,0.7984,0.67213,0.72573,0.42891,1.35913,0.94864,1.02632,0.0091783,0.0091783,0.0091783
85,413.337,1.20505,0.76344,1.02232,0.7987,0.66963,0.72369,0.43393,1.33793,0.94452,1.01274,0.0091684,0.0091684,0.0091684
86,418.157,1.22232,0.77214,1.03022,0.81274,0.64219,0.71427,0.41914,1.37852,0.9601,1.0192,0.0091585,0.0091585,0.0091585
87,422.958,1.21888,0.78551,1.03593,0.79194,0.65971,0.72344,0.4281,1.36304,0.95774,1.00797,0.0091486,0.0091486,0.0091486
88,427.693,1.21529,0.77268,1.03034,0.78738,0.65512,0.71741,0.42737,1.34829,0.97127,0.99918,0.0091387,0.0091387,0.0091387
89,432.428,1.19948,0.76434,1.02485,0.78813,0.6675,0.72084,0.43626,1.31483,0.93966,1.00525,0.0091288,0.0091288,0.0091288
90,437.358,1.22631,0.77634,1.02891,0.78428,0.6632,0.71391,0.42712,1.35206,0.95505,1.01996,0.0091189,0.0091189,0.0091189
91,441.979,1.19584,0.76302,1.03651,0.77369,0.6658,0.7106,0.42631,1.32772,0.97176,0.99998,0.009109,0.009109,0.009109
92,446.712,1.2156,0.75901,1.02603,0.78984,0.65756,0.71607,0.43035,1.33137,0.95515,1.01156,0.0090991,0.0090991,0.0090991
93,451.465,1.213,0.76604,1.02666,0.79411,0.66132,0.71843,0.43143,1.3344,0.94791,1.00997,0.0090892,0.0090892,0.0090892
94,456.204,1.21485,0.75947,1.02756,0.77638,0.66145,0.71248,0.43018,1.31641,0.95858,1.00267,0.0090793,0.0090793,0.0090793
95,460.928,1.20361,0.75033,1.02282,0.77231,0.67413,0.70654,0.42774,1.30817,0.95672,1.00326,0.0090694,0.0090694,0.0090694
96,465.835,1.20618,0.75901,1.01596,0.7708,0.66975,0.71,0.41895,1.34867,0.97837,1.00947,0.0090595,0.0090595,0.0090595
97,470.572,1.18533,0.74855,1.02141,0.79639,0.65571,0.71425,0.42938,1.34042,0.94382,1.01089,0.0090496,0.0090496,0.0090496
98,475.291,1.19714,0.75143,1.02006,0.80388,0.65181,0.71255,0.42406,1.3698,0.94244,1.02414,0.0090397,0.0090397,0.0090397
99,480.058,1.20874,0.75768,1.02275,0.78275,0.66469,0.71292,0.42615,1.34433,0.94301,1.01131,0.0090298,0.0090298,0.0090298
100,484.81,1.18613,0.74779,1.0258,0.78994,0.67358,0.71932,0.43258,1.32402,0.9472,0.99972,0.0090199,0.0090199,0.0090199
101,489.498,1.2032,0.75217,1.02829,0.80316,0.66126,0.72115,0.42806,1.35346,0.92648,1.01669,0.00901,0.00901,0.00901
102,494.288,1.19397,0.74182,1.01377,0.76633,0.67452,0.70933,0.42388,1.3531,0.94871,1.00417,0.0090001,0.0090001,0.0090001
103,498.955,1.17851,0.72836,1.01714,0.78896,0.67287,0.71809,0.42941,1.33084,0.93851,1.01118,0.0089902,0.0089902,0.0089902
104,503.718,1.17984,0.73739,1.01255,0.79328,0.65771,0.70769,0.42485,1.33285,0.94364,1.01718,0.0089803,0.0089803,0.0089803
105,508.363,1.18513,0.73157,1.01867,0.80865,0.65813,0.71478,0.42465,1.33421,0.93047,1.00254,0.0089704,0.0089704,0.0089704
106,513.089,1.18322,0.72957,1.0183,0.78441,0.66952,0.71019,0.4319,1.30089,0.9393,0.99695,0.0089605,0.0089605,0.0089605
107,517.906,1.16954,0.72541,1.01242,0.79203,0.66238,0.71964,0.42841,1.33563,0.94237,1.0077,0.0089506,0.0089506,0.0089506
108,522.675,1.1753,0.74014,1.01905,0.79635,0.65311,0.71483,0.4243,1.34272,0.94145,0.99778,0.0089407,0.0089407,0.0089407
109,527.569,1.17543,0.74244,1.01372,0.78527,0.65756,0.71252,0.42514,1.36152,0.94829,1.01493,0.0089308,0.0089308,0.0089308
110,532.312,1.17457,0.72066,1.01351,0.79456,0.65694,0.72042,0.43622,1.32314,0.92303,1.00716,0.0089209,0.0089209,0.0089209
111,537.125,1.17865,0.72467,1.01597,0.79302,0.65079,0.71788,0.42889,1.34777,0.94209,1.00956,0.008911,0.008911,0.008911
112,541.764,1.17112,0.72094,1.00931,0.79478,0.67031,0.72448,0.4373,1.31766,0.91718,1.0091,0.0089011,0.0089011,0.0089011
113,546.436,1.17076,0.71884,1.01325,0.78063,0.66479,0.71427,0.43586,1.32678,0.93826,1.00062,0.0088912,0.0088912,0.0088912
114,551.177,1.17762,0.721,1.00811,0.79337,0.66636,0.71727,0.43656,1.31726,0.91902,0.99908,0.0088813,0.0088813,0.0088813
115,555.891,1.17029,0.72345,1.01032,0.80431,0.67109,0.71571,0.42618,1.34866,0.92047,1.01374,0.0088714,0.0088714,0.0088714
116,560.555,1.17155,0.72179,1.01473,0.80569,0.66269,0.72152,0.4394,1.30257,0.91782,1.00509,0.0088615,0.0088615,0.0088615
117,565.415,1.17476,0.72394,1.01478,0.79956,0.6617,0.7211,0.43184,1.33438,0.93417,1.00652,0.0088516,0.0088516,0.0088516
118,570.199,1.17436,0.71742,1.01075,0.81344,0.64644,0.72771,0.43383,1.32819,0.91593,0.99962,0.0088417,0.0088417,0.0088417
119,574.907,1.18505,0.7289,1.01165,0.80237,0.67332,0.7266,0.43606,1.3387,0.91142,1.00951,0.0088318,0.0088318,0.0088318
120,579.659,1.16237,0.70882,1.00374,0.79776,0.67534,0.72772,0.43455,1.3395,0.91054,1.01283,0.0088219,0.0088219,0.0088219
121,584.485,1.17812,0.73583,1.009,0.79521,0.67695,0.7191,0.4247,1.3365,0.91186,1.01933,0.008812,0.008812,0.008812
122,589.223,1.14501,0.70602,0.99862,0.7825,0.67077,0.72508,0.44421,1.29407,0.91372,0.98466,0.0088021,0.0088021,0.0088021
123,594.002,1.14862,0.70433,1.00258,0.77144,0.67321,0.7132,0.4306,1.31676,0.91721,0.99733,0.0087922,0.0087922,0.0087922
124,598.768,1.15545,0.70346,1.00533,0.78409,0.66484,0.72368,0.44307,1.29213,0.91204,0.98481,0.0087823,0.0087823,0.0087823
125,603.442,1.14736,0.69865,1.00543,0.78905,0.67038,0.72614,0.43825,1.30687,0.92623,0.99845,0.0087724,0.0087724,0.0087724
126,608.182,1.16707,0.7135,1.00962,0.77922,0.67577,0.72702,0.43504,1.32648,0.91912,1.01098,0.0087625,0.0087625,0.0087625
127,612.943,1.15217,0.71408,1.01441,0.7915,0.66642,0.72273,0.43545,1.32918,0.92205,1.0135,0.0087526,0.0087526,0.0087526
128,617.613,1.1647,0.7066,1.01071,0.80232,0.66445,0.73229,0.43864,1.3286,0.90188,1.00893,0.0087427,0.0087427,0.0087427
129,622.41,1.1654,0.72971,1.01152,0.79006,0.65536,0.72017,0.42892,1.32925,0.94007,1.0068,0.0087328,0.0087328,0.0087328
130,627.144,1.14742,0.70242,1.00564,0.79186,0.66682,0.72069,0.42775,1.34592,0.9305,1.02303,0.0087229,0.0087229,0.0087229
131,631.819,1.15839,0.70062,1.01424,0.78903,0.67427,0.72905,0.43253,1.34317,0.92385,1.01935,0.008713,0.008713,0.008713
132,636.571,1.15301,0.69394,1.00918,0.78919,0.67312,0.71996,0.42954,1.34225,0.91935,1.00821,0.0087031,0.0087031,0.0087031
133,641.283,1.14365,0.6977,1.00784,0.79752,0.66859,0.71953,0.4244,1.3644,0.92981,1.00934,0.0086932,0.0086932,0.0086932
134,645.996,1.14555,0.69046,1.00252,0.78685,0.6672,0.73188,0.44203,1.3117,0.90554,0.98746,0.0086833,0.0086833,0.0086833
135,650.69,1.13658,0.6903,1.00046,0.79989,0.65695,0.72312,0.44048,1.29716,0.9153,0.98562,0.0086734,0.0086734,0.0086734
136,655.536,1.13782,0.6817,0.99697,0.81242,0.65036,0.72264,0.43176,1.32595,0.92455,1.00512,0.0086635,0.0086635,0.0086635
137,660.159,1.14527,0.69505,1.00445,0.80542,0.66959,0.7316,0.439,1.32411,0.90038,1.0105,0.0086536,0.0086536,0.0086536
138,664.875,1.1521,0.69976,1.00641,0.81285,0.66881,0.72859,0.43454,1.33557,0.92803,1.01078,0.0086437,0.0086437,0.0086437
139,669.606,1.14468,0.6931,1.00618,0.81018,0.66596,0.72517,0.4394,1.31498,0.90804,1.00626,0.0086338,0.0086338,0.0086338
140,674.215,1.13411,0.68628,1.00732,0.79569,0.68199,0.72903,0.43856,1.33072,0.90651,1.00961,0.0086239,0.0086239,0.0086239
141,678.917,1.11591,0.66599,0.9917,0.80733,0.67842,0.73283,0.44642,1.29772,0.89276,0.99713,0.008614,0.008614,0.008614
142,683.845,1.14171,0.69418,1.00004,0.7971,0.67379,0.72275,0.44067,1.29351,0.89061,0.99503,0.0086041,0.0086041,0.0086041
143,688.647,1.1408,0.68727,0.99664,0.80364,0.68072,0.7344,0.44113,1.31616,0.8972,1.01506,0.0085942,0.0085942,0.0085942
144,693.372,1.13081,0.67821,0.99725,0.77913,0.68794,0.72968,0.4503,1.27575,0.88565,0.98536,0.0085843,0.0085843,0.0085843
145,698.227,1.14884,0.68942,0.99834,0.80188,0.66643,0.72768,0.44487,1.28528,0.90001,0.98795,0.0085744,0.0085744,0.0085744
146,702.974,1.12775,0.6753,0.99382,0.80003,0.66427,0.72259,0.44203,1.27925,0.89503,0.98324,0.0085645,0.0085645,0.0085645
147,707.682,1.11423,0.67371,1.00124,0.80262,0.66895,0.72541,0.44005,1.27865,0.90187,0.98383,0.0085546,0.0085546,0.0085546
148,712.577,1.14538,0.75417,0.99997,0.78665,0.66596,0.72666,0.43963,1.32077,0.90533,0.99667,0.0085447,0.0085447,0.0085447
149,717.284,1.12382,0.6829,0.99961,0.78087,0.66991,0.71894,0.42904,1.34244,0.90779,1.01811,0.0085348,0.0085348,0.0085348
150,721.952,1.12014,0.67811,0.99434,0.79202,0.65914,0.72121,0.43419,1.32698,0.92413,1.0075,0.0085249,0.0085249,0.0085249
151,726.784,1.13657,0.68686,0.99841,0.78236,0.6773,0.72561,0.42883,1.3362,0.91642,1.00987,0.008515,0.008515,0.008515
152,731.599,1.13371,0.68139,0.99115,0.78759,0.68043,0.72403,0.43841,1.29957,0.91029,0.99086,0.0085051,0.0085051,0.0085051
153,736.357,1.10918,1.05601,0.98448,0.79806,0.66958,0.71936,0.42704,1.3244,0.91676,1.0083,0.0084952,0.0084952,0.0084952
154,741.226,1.12679,0.67579,0.99563,0.80268,0.66313,0.72237,0.43508,1.31677,0.90664,1.0039,0.0084853,0.0084853,0.0084853
155,746.005,1.12291,0.66833,0.98284,0.79493,0.66655,0.72076,0.44462,1.26649,0.90461,0.98225,0.0084754,0.0084754,0.0084754
156,750.698,1.12553,0.67411,0.99694,0.78118,0.68094,0.72047,0.43954,1.29943,0.90603,0.99592,0.0084655,0.0084655,0.0084655
157,755.426,1.12721,0.67706,1.00073,0.80467,0.65324,0.71943,0.43252,1.3256,0.93769,1.00744,0.0084556,0.0084556,0.0084556
158,760.341,1.1234,0.67656,0.99568,0.77925,0.67882,0.72501,0.43661,1.31638,0.90164,1.00416,0.0084457,0.0084457,0.0084457
159,765.002,1.11877,0.66906,0.99915,0.8033,0.67133,0.72675,0.43999,1.31385,0.91784,1.00305,0.0084358,0.0084358,0.0084358
160,769.845,1.12996,0.67343,0.99027,0.80094,0.66876,0.72836,0.44525,1.2808,0.91648,0.98606,0.0084259,0.0084259,0.0084259
161,774.639,1.11612,0.67287,0.99199,0.81111,0.65533,0.72865,0.4387,1.31973,0.92539,1.0055,0.008416,0.008416,0.008416
162,779.274,1.10684,0.66953,0.99882,0.79813,0.67668,0.74094,0.44803,1.29936,0.89145,1.00083,0.0084061,0.0084061,0.0084061
163,784.103,1.12239,0.6683,0.99266,0.79723,0.68251,0.73263,0.45024,1.27913,0.88114,0.98927,0.0083962,0.0083962,0.0083962
